kr_name,month, monthly_target 
KR-1.4,"September, 2026","100,365,511"
KR-1.4,"October, 2026","82,071,798"
KR-1.4,"November, 2026","83,171,420"
KR-1.4,"December, 2026","84,271,042"
KR-2,"January, 2026","64,150,000"
KR-2,"February, 2026","22,250,000"
KR-2,"March, 2026","42,900,000"
KR-2,"April, 2026","20,400,000"
KR-2,"May, 2026","16,700,000"
KR-2,"June, 2026","45,000,000"
KR-2,"July, 2026","18,650,000"
KR-2,"August, 2026","27,900,000"
KR-2,"September, 2026","36,150,000"
KR-2,"October, 2026","39,400,000"
KR-2,"November, 2026","20,200,000"
KR-2,"December, 2026","96,350,000"
KR-2.1,"January, 2026","30,800,000"
KR-2.1,"February, 2026","8,000,000"
KR-2.1,"March, 2026","3,000,000"
KR-2.1,"April, 2026","4,000,000"
KR-2.1,"May, 2026","2,450,000"
KR-2.1,"June, 2026","9,800,000"
KR-2.1,"July, 2026","3,500,000"
KR-2.1,"August, 2026","15,000,000"
KR-2.1,"September, 2026","9,800,000"
KR-2.1,"October, 2026","12,000,000"
KR-2.1,"November, 2026","700,000"
KR-2.1,"December, 2026","21,000,000"
KR-2.1.1,"January, 2026","1,800,000.00"
KR-2.1.1,"February, 2026","1,000,000.00"
KR-2.1.1,"March, 2026","3,000,000.00"
KR-2.1.1,"April, 2026","4,000,000.00"
KR-2.1.1,"May, 2026","2,450,000.00"
KR-2.1.1,"June, 2026","9,800,000.00"
KR-2.1.1,"July, 2026","3,500,000.00"
KR-2.1.1,"August, 2026","4,000,000.00"
KR-2.1.1,"September, 2026","9,800,000.00"
KR-2.1.1,"October, 2026","12,000,000.00"
KR-2.1.1,"November, 2026","700,000.00"
KR-2.1.1,"December, 2026","4,000,000.00"
KR-2.1.2,"January, 2026","29,000,000"
KR-2.1.2,"February, 2026","7,000,000"
KR-2.1.2,"March, 2026",0
KR-2.1.2,"April, 2026",0
KR-2.1.2,"May, 2026",0
KR-2.1.2,"June, 2026",0
KR-2.1.2,"July, 2026",0
KR-2.1.2,"August, 2026","11,000,000"
KR-2.1.2,"September, 2026",0
KR-2.1.2,"October, 2026",0
KR-2.1.2,"November, 2026",0
KR-2.1.2,"December, 2026","17,000,000"
KR-2.2,"January, 2026","19,500,000.00"
KR-2.2,"February, 2026","9,000,000.00"
KR-2.2,"March, 2026","29,500,000.00"
KR-2.2,"April, 2026","9,000,000.00"
KR-2.2,"May, 2026","9,000,000.00"
KR-2.2,"June, 2026","29,500,000.00"
KR-2.2,"July, 2026","9,000,000.00"
KR-2.2,"August, 2026","9,000,000.00"
KR-2.2,"September, 2026","19,000,000.00"
KR-2.2,"October, 2026","19,000,000.00"
KR-2.2,"November, 2026","9,000,000.00"
KR-2.2,"December, 2026","59,500,000.00"
