metric_month: Month,agent_region,Sum of monthly_premium,Sum of motor_gwp,Sum of non_motor_gwp
"October, 2025",Central Team A,"1,812,745.34","1,793,094.05","19,651.29"
"October, 2025",Central Team B,"3,565,671.99","3,489,321.19","76,350.8"
"October, 2025",Eastern,"1,110,665.52","1,054,340.05","56,325.47"
"October, 2025",Northeastern,"2,320,487.06","2,204,862.57","115,624.49"
"October, 2025",Northern,"1,992,748.3","1,960,265.2","32,483.1"
"October, 2025",Southern,"818,999.9","807,659.9","11,340"
"November, 2025",Central Team A,"1,920,925.95","1,852,021.83","68,904.12"
"November, 2025",Central Team B,"2,832,574.07","2,784,814.41","47,759.66"
"November, 2025",Eastern,"1,910,467.56","1,885,658.56","24,809"
"November, 2025",Northeastern,"4,148,617.33","4,059,805.57","88,811.76"
"November, 2025",Northern,"1,840,140.19","1,824,303.71","15,836.48"
"November, 2025",Southern,"1,803,069.17","1,761,998.34","41,070.83"
"December, 2025",Central Team A,"1,873,231.98","1,848,681.14","24,550.84"
"December, 2025",Central Team B,"4,016,658.09","3,852,625.65","164,032.44"
"December, 2025",Eastern,"2,562,430.51","2,543,221.58","19,208.93"
"December, 2025",Northeastern,"4,764,954.26","4,742,494.61","22,459.65"
"December, 2025",Northern,"2,511,017.64","2,501,198.83","9,818.81"
"December, 2025",Southern,"2,593,185.72","2,581,585.28","11,600.44"
"January, 2026",Central Team A,"1,806,047.23","1,759,025.72","47,021.51"
"January, 2026",Central Team B,"1,625,382.39","1,611,125.4","14,256.99"
"January, 2026",Eastern,"1,737,352.46","1,685,929.46","51,423"
"January, 2026",Northeastern,"5,608,716.52","5,580,970.16","27,746.36"
"January, 2026",Northern,"2,151,030.94","2,145,363.38","5,667.56"
"January, 2026",Southern,"1,793,808.92","1,776,794.51","17,014.41"
"February, 2026",Central Team A,"1,716,206.66","1,680,719.2","35,487.46"
"February, 2026",Central Team B,"2,326,666.91","2,285,564.8","41,102.11"
"February, 2026",Eastern,"1,652,976.97","1,652,976.97",0
"February, 2026",Northeastern,"4,250,197.3","4,214,826.29","35,371.01"
"February, 2026",Northern,"1,530,094.81","1,524,945.06","5,149.75"
"February, 2026",Southern,"2,846,699.37","2,831,828.34","14,871.03"
"March, 2026",Central Team A,"5,452,489.57","5,402,343.32","50,146.25"
"March, 2026",Central Team B,"3,952,967.54","3,885,726.66","67,240.88"
"March, 2026",Eastern,"2,267,927.93","2,195,048.49","72,879.44"
"March, 2026",Northeastern,"4,577,656.26","4,534,699.48","42,956.78"
"March, 2026",Northern,"2,164,972","2,148,443.57","16,528.43"
"March, 2026",Southern,"2,184,196.13","2,115,853.47","68,342.66"
"April, 2026",Central Team A,"3,568,887.04","3,549,841.93","19,045.11"
"April, 2026",Central Team B,"2,239,894.78","2,175,204.62","64,690.16"
"April, 2026",Eastern,"443,893.17","436,923.07","6,970.1"
"April, 2026",Northeastern,"1,741,846.34","1,740,962.56",883.78
"April, 2026",Northern,"1,255,208.09","1,245,135.47","10,072.62"
"April, 2026",Southern,"715,138.63","697,589.63","17,549"
